"","Year","Area","Street","Street.2"
"708",2011,"Birmingham","The Jester PH",""
"709",2011,"Birmingham","The Parade Queensway  City  Centre ","The Parade Queensway City  Centre"
"710",2011,"Birmingham","The Royal Oak Public House  Pershore Rd.","The Royal Oak Public House Pershore Rd."
"711",2011,"Birmingham","Three Horshoes PH",""
"712",2011,"Birmingham","Three Shires Oak Rd.",""
"713",2011,"Birmingham","Three shires Rd.",""
"714",2011,"Birmingham","trescotte Rd.",""
"715",2011,"Birmingham","turves green",""
"716",2011,"Birmingham","unknown",""
"717",2011,"Birmingham","valbourne Rd. kings heath",""
"718",2011,"Birmingham","Vicarage Rd.  Kings heath","Vicarage Rd. Kings heath"
"719",2011,"Birmingham","Vineyard Rd.  Northfield","Vineyard Rd. Northfield"
"720",2011,"Birmingham","war lane",""
"721",2011,"Birmingham","Watford Rd  Cotteridge","Watford Rd Cotteridge"
"722",2011,"Birmingham","weolly castle Rd.",""
"723",2011,"Birmingham","Westminster Rd.",""
"724",2011,"Birmingham","Wolverhampton St.",""
"725",2011,"Birmingham","Woodhouse Rd.  Quinton","Woodhouse Rd. Quinton"
"726",2011,"Birmingham","Woodmeadow Rd.",""
"727",2011,"Birmingham","worlds end lane",""
"728",2011,"Birmingham","worlds end lane","worlds end lane"
"729",2011,"Birmingham","Worlds End Lane Quinton","Worlds End LaneQuinton"
"730",2011,"Birmingham","Worlds End Lane Quinton","Worlds End LaneQuinton"
"731",2011,"Birmingham","Acardian Centre",""
"732",2011,"Birmingham","Adderley Rd.",""
"733",2011,"Birmingham","Air Night Club",""
"734",2011,"Birmingham","Albert Rd.  Handsworth  Birmingham","Albert Rd. Handsworth Birmingham"
"735",2011,"Birmingham","Arcadia Centre  Birmingham city centre","Arcadia Centre Birmingham city centre"
"736",2011,"Birmingham","arcadian",""
"737",2011,"Birmingham","Arcadian",""
"738",2011,"Birmingham","Arcadian Birmingham City Centre",""
